Código Antiguo;Código Vigente;Código Madre Antiguo;Código Madre Nuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;Ámbito de Funcionamiento;Nombre Oficial;Certificación;Dependencia Administrativa;NivelAtencionEstabglosa;ComunaCódigo;ComunaGlosa;TipoViaGlosa;Número;Nombredevía;TelefonoMovil_TelefonoFijo;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia;Clasificación Tipo de SAPU;LatitudGlosa;LongitudGlosa;TipoSistemaSaludGlosa;Estado de Funcionamiento;NivelComplejidadEstabGlosa;Tipo de Atención;Fecha de Incorporación a la base
12-228;112228;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica San Andrés;No Aplica;Privado;No Aplica;13123;Providencia;Calle;695;Los Jesuitas;222055344;01-01-2009;NO;No Aplica;No Aplica;-33,4446;-70,6223;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
11-208;111208;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Bio Reval Ltda;No Aplica;Privado;No Aplica;13101;Santiago;Calle;1112;Libertador Bernardo O'Higgins;226971924;01-01-2009;NO;No Aplica;No Aplica;-33,444597;-70,651889;Privado;Vigente en Operación Habitual;;No Aplica;
12-961;112961;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Elsa;No Aplica;Privado;Secundario;13123;Providencia;Avenida;1056;Italia;224763100;01-01-2009;NO;No Aplica;No Aplica;-33,444389;-70,625433;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-301;112301;;;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Hernán Alessandri;Centro de Salud Familiar;Municipal;Primario;13123;Providencia;Calle;857;Los Jesuitas;227064300;;NO;No Aplica;No Aplica;-33,444228;-70,620427;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-998;200198;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico HTS SpA;No Aplica;Privado;Secundario;13123;Providencia;Avenida;210;Vicuña Mackenna;226853763;06-02-2008;NO;No Aplica;No Aplica;-33,444151;-70,63295;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
10-923;200342;10-325;110325;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Plaza México;No Aplica;Municipal;Primario;13126;Quinta Normal;Calle;4490;Huérfanos;222726944;07-03-2017;NO;No Aplica;No Aplica;-33,444011;-70,696207;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-195;111195;;;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;Autogestionado en Red (EAR);Servicio de Salud;Terciario;13101;Santiago;Avenida;125;Portugal ;224681100;24-02-2019;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,444004;-70,637955;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
12-279;112279;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Consultorio Escuela de Carabineros de Chile;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;13123;Providencia;Calle;1842;Antonio Varas;229221243;01-01-2009;NO;No Aplica;No Aplica;-33,44386;-70,6119;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
11-916;200698;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico Lira Red de Salud UC CHRISTUS;No Aplica;Privado;Secundario;13101;Santiago;Calle;85;Lira;;;NO;No Aplica;No Aplica;-33,443851;-70,64105;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
10-280;110280;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Médico y Dental;Establecimiento de Salud;Servicio Médico Dental (S) Armada de Chile;No Aplica;Fuerzas Armadas y de Orden (FFAA);No Aplica;13126;Quinta Normal;Calle;4040;Portales;227731888;01-01-2009;NO;No Aplica;No Aplica;-33,4437;-70,689673;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
12-937;200037;12-301;112301;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Elena Caffarena;No Aplica;Municipal;Primario;13123;Providencia;Calle;520;Marín;222054465;11-04-2014;NO;No Aplica;No Aplica;-33,443646;-70,624756;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-244;112244;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital del Trabajador Santiago;No Aplica;Privado;Terciario;13123;Providencia;Calle;185;Ramón Carnicer;226853333;01-01-2009;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,443625;-70,632551;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
;201218;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontologico Uno Salud Dental Maipu 3 ;No Aplica;Privado;Secundario;13119;Maipú;Avenida;1076;Vespucio ;227638962;07-03-2022;NO;No Aplica;No Aplica;-33,4781199;-70,7567392;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;08-06-2022
11-210;111210;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Hernández y Gutiérrez Ltda;No Aplica;Privado;Secundario;13101;Santiago;Avenida;776;Libertador Bernardo O'Higgins;226388846;01-01-2009;NO;No Aplica;No Aplica;-33,443284;-70,646988;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
12-264;112264;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Instituto El Cedro;No Aplica;Privado;No Aplica;13113;La Reina;Calle;1240;Julia Berstein;222751152;01-01-2009;NO;No Aplica;No Aplica;-33,44327;-70,522993;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
11-220;111220;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Perfil Bioquímico;No Aplica;Privado;No Aplica;13101;Santiago;Calle;510;Guayaquil;226395908;01-01-2009;NO;No Aplica;No Aplica;-33,443197;-70,64343;Privado;Vigente en Operación Habitual;;No Aplica;
12-904;200143;12-303;112303;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Aguilucho;No Aplica;Municipal;Primario;13123;Providencia;Calle;3235;El Aguilucho ;227066753;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,443182;-70,597762;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-278;111278;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Integramédica Forestal;No Aplica;Privado;Secundario;13101;Santiago;Calle;654;Alameda;223536800;01-01-2009;NO;No Aplica;No Aplica;-33,443088;-70,645705;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
11-948;200228;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Médico y Dental;Establecimiento de Salud;Centro Médico y Dental Servicio de Bienestar MOP;No Aplica;Privado;No Aplica;13101;Santiago;Calle;59;Morandé;224493355;06-06-1980;NO;No Aplica;No Aplica;-33,443018;-70,653049;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
11-291;111291;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Médico y Dental;Establecimiento de Salud;Centro Médico y Dental Fundación Asistencial Trabajadores Del Banco del Estado de Chile;No Aplica;Privado;No Aplica;13101;Santiago;Calle;70;Profesora Amanda Labarca;223479000;01-01-2009;NO;No Aplica;No Aplica;-33,442973;-70,655523;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;01-03-2023
11-917;200699;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Cáncer Red de Salud UC CHRISTUS;No Aplica;Privado;Secundario;13101;Santiago;Calle;319;Diagonal Paraguy;;;NO;No Aplica;No Aplica;-33,442892;-70,641022;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
12-317;112317;;;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Ossandon;Centro de Salud Familiar;Municipal;Primario;13113;La Reina;Calle;8419;Echenique;226517295;;NO;No Aplica;No Aplica;-33,442855;-70,54447;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-903;200142;12-317;112317;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU La Reina;No Aplica;Municipal;Primario;13113;La Reina;Calle;8419;Echenique;226517291;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,442773;-70,544433;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-303;112303;;;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Aguilucho;Centro de Salud Familiar;Municipal;Primario;13123;Providencia;Calle;3292;El Aguilucho ;222743516;;NO;No Aplica;No Aplica;-33,442673;-70,597096;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-951;200715;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Especialidades Médicas Red de Salud UC CHRISTUS;No Aplica;Privado;Secundario;13101;Santiago;Calle;352;Marcoleta;;;NO;No Aplica;No Aplica;-33,442651;-70,639037;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
11-212;111212;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Labocenter;No Aplica;Privado;No Aplica;13101;Santiago;Calle;22;Mac-Iver;226330867;01-01-2009;NO;No Aplica;No Aplica;-33,442579;-70,646414;Privado;Vigente en Operación Habitual;;No Aplica;
06-405;106405;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Lagunillas;No Aplica;Municipal;Primario;5102;Casablanca;Calle;;Rojas Montt;;;NO;No Aplica;No Aplica;-33,442468;-71,45254;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
10-627;110627;10-010;110010;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Municipal de Pudahuel;No Aplica;Municipal;Secundario;13124;Pudahuel;Calle;9176;San Pablo ;226402572;16-10-2012;NO;No Aplica;No Aplica;-33,442437;-70,76465;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;20-05-2022
10-921;200139;10-351;110351;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Pudahuel Poniente;No Aplica;Municipal;Primario;13124;Pudahuel;Calle;620;Federico Errázuriz ;226433336;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,442413;-70,764867;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;02-03-2022
10-100;110100;;;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital San Juan de Dios (Santiago, Santiago);Autogestionado en Red (EAR);Servicio de Salud;Terciario;13101;Santiago;Calle;3255;Huérfanos;225741900;;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,442394;-70,679188;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
;200917;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Instituto Oftalmológico Dr. David Bitran;No Aplica;Privado;Secundario;13123;Providencia;Avenida;943;Salvador;225941401;05-08-2013;NO;No Aplica;No Aplica;-33,442344;-70,624128;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
11-200;111200;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Clínico Red de Salud UC CHRISTUS;No Aplica;;Terciario;13101;Santiago;Calle;367;Marcoleta;223543103;01-01-2009;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,442233;-70,640349;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
11-292;111292;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Marcoleta de la Pontificia Universidad Católica de Chile;No Aplica;Privado;Primario;13101;Santiago;Calle;350;Marcoleta;223543534;01-01-2009;NO;No Aplica;No Aplica;-33,442163;-70,640257;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-276;111276;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica UC Red de Salud UC CHRISTUS;No Aplica;Privado;No Aplica;13101;Santiago;Calle;40;Lira;223696000;01-01-2009;NO;No Aplica;No Aplica;-33,442159;-70,641311;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
11-269;111269;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Vida Integra Bandera;No Aplica;Privado;Secundario;13101;Santiago;Calle;101;Bandera;222333700;01-01-2009;NO;No Aplica;No Aplica;-33,441929;-70,651903;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
10-281;110281;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Oncología Preventiva de la Universidad de Chile;No Aplica;Privado;Secundario;13126;Quinta Normal;Calle;299;Carlos Schachtebeck;226822057;01-01-2009;NO;No Aplica;No Aplica;-33,44188166;-70,68353755;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
12-938;200575;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental Manquehue;No Aplica;Privado;No Aplica;13114;Las Condes;Avenida;430;Manquehue Sur, Local 1-A;6007071010;02-08-2013;NO;No Aplica;No Aplica;-33,410835;-70,566112;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
11-299;111299;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Integramédica Bandera;No Aplica;Privado;Secundario;13101;Santiago;Calle;162;Bandera;226366666;01-01-2009;NO;No Aplica;No Aplica;-33,441528;-70,652402;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
11-283;111283;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Asistencial AChS Santiago;No Aplica;Privado;Secundario;13101;Santiago;Calle;1428;Agustinas;225657200;01-01-2009;NO;No Aplica;No Aplica;-33,441492;-70,656611;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
10-201;110201;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Psiquiátrica Santa Cecilia;No Aplica;Privado;No Aplica;13101;Santiago;Calle;2247;Huérfanos;226990643;01-01-2009;NO;No Aplica;No Aplica;-33,44129;-70,66728;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
11-288;111288;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Mutual CChC Agustinas;No Aplica;Privado;Secundario;13101;Santiago;Calle;1365;Agustinas;228765700;01-01-2009;NO;No Aplica;No Aplica;-33,441165;-70,655942;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-918;200869;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Evaluación del Trabajo (CET) Santiago Centro;No Aplica;Privado;Secundario;13101;Santiago;Calle;865;Agustinas;227879925;13-11-2018;NO;No Aplica;No Aplica;-33,440462;-70,648817;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
12-923;200389;12-311;112311;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Amapolas;No Aplica;Municipal;Primario;13120;Ñuñoa;Calle;4899;Amapolas;228000649;05-07-2017;NO;No Aplica;No Aplica;-33,440308;-70,580009;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-222;111222;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Sigma;No Aplica;Privado;No Aplica;13101;Santiago;Calle;3040;Catedral;226816101;01-01-2009;NO;No Aplica;No Aplica;-33,440215;-70,677134;Privado;Vigente en Operación Habitual;;No Aplica;
12-991;200091;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Mirandes S.P.A.;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;726;Salvador;226119550;15-04-2014;NO;No Aplica;No Aplica;-33,44015;-70,62442;Privado;Vigente en Operación Habitual;Pendiente;Atención Cerrada-Hospitalaria;
12-243;112243;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Corporación para la Nutrición Infantil (CONIN);Establecimiento de Salud;Centro CONIN Credes;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;1880;Pedro de Valdivia;224810555;01-01-2009;NO;No Aplica;No Aplica;-33,439977;-70,606741;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
10-930;200518;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental Melipilla;No Aplica;Privado;No Aplica;13501;Melipilla;Calle;561-565;Plaza de Armas;6007071010;18-07-2018;NO;No Aplica;No Aplica;-33,686251;-71,214487;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
11-913;200572;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Dipreca - Sala Externa de Toma de Muestras;No Aplica;Fuerzas Armadas y de Orden (FFAA);No Aplica;13101;Santiago;Calle;257;Mac Iver, pisos 9;295177700;27-04-2000;NO;No Aplica;No Aplica;-33,439732;-70,646582;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;;No Aplica;
12-513;112513;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Astra Providencia;No Aplica;Privado;No Aplica;13123;Providencia;Calle;701;Rancagua;222741377;01-01-2009;NO;No Aplica;No Aplica;-33,43968;-70,62347;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
11-263;111263;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Integramédica;No Aplica;Privado;Secundario;13101;Santiago;Calle;1147;Huérfanos;226923300;01-01-2009;NO;No Aplica;No Aplica;-33,439526;-70,652881;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
10-621;110621;10-010;110010;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Lo Prado;No Aplica;Municipal;Secundario;13117;Lo Prado;Calle;1052;San Germán;225744851;;NO;No Aplica;No Aplica;-33,439516;-70,719801;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
;200556;;;13;Región Metropolitana de Santiago;95;Servicio de Salud N/A;Perteneciente al Sistema Nacional de Servicios de Salud;Atención Remota;Establecimiento de Salud;Hospital Digital;No Aplica;Servicio de Salud;No Aplica;13101;Santiago;Calle;670;Huérfanos, Piso 18;933858910;05-11-2018;NO;No Aplica;No Aplica;-33,439415;-70,646293;Público ;Vigente en Operación Habitual;;No Aplica;25-08-2022
10-315;110315;;;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Santa Anita;Centro de Salud Familiar;Municipal;Primario;13117;Lo Prado;Calle;5302;Camino de Loyola;225743051;;NO;No Aplica;No Aplica;-33,43929;-70,7093;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
10-922;200140;10-315;110315;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Santa Anita;No Aplica;Municipal;Primario;13117;Lo Prado;Calle;5302;Camino de Loyola;227864684;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,439204;-70,709532;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-254;112254;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Instituto Clínico Oncológico Fundación Arturo López Pérez;No Aplica;Privado;Terciario;13123;Providencia;Calle;878;Rancagua;224457278;01-01-2009;NO;No Aplica;No Aplica;-33,43913;-70,62242;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
11-217;111217;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Diagnostiko Ltda;No Aplica;Privado;Secundario;13101;Santiago;Calle;121;Victoria Subercaseaux;226328076;01-01-2009;NO;No Aplica;No Aplica;-33,439095;-70,642253;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
11-381;111381;;;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Ignacio Domeyko;Centro de Salud Familiar;Municipal;Primario;13101;Santiago;Calle;543;Cueto;225747650;;NO;No Aplica;No Aplica;-33,438921;-70,672467;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-923;200933;11-381;111381;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Ignacio Domeyko;No Aplica;Municipal;Primario;13101;Santiago;Calle;543;Cueto;224985441;13-06-2016;SI;Urgencia Ambulatoria (SAPU);Corto;-33,438921;-70,672467;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
